Location;Sounds_share;NDVI;BD;DB;RD;DR;LPI;LSI;PD;SHDI
HsL1;3;0,8;2;68,9;5;6,3;45;2;139,49;0,875
HsL2;11,52;0,4;2;80,8;7;31,7;15;1,25;109,49;0,503
HsL3;1,97;0,3;1;91,1;8;19,5;27;2,15;104,615;0,065
HsL4;21,35;0,76;11;10;16;3,45;13;1;167,487;0,449
HsL5;4,56;0,78;45;11,54;48;11,3;5;0,25;199,487;0,902
HsL6;2,31;0,85;20;68,95;30;6,9;8;0,75;180,612;0,831
HsL7;1,43;0,75;1;15,42;6;10,47;55;2,25;140,65;0,449
HsL8;6,63;0,54;2;13,4;16;8,81;25;1,75;102,25;0,45
HsL9;74,81;0,34;35;43,52;6;9,38;11;0,6;104,35;0,801
HsL10;66,04;0,77;32;19,41;24;2,35;9;0,7;122,48;0,606
HsL11;66,01;0,68;28;57;7;22,25;14;0,85;133,83;0,683
HsL12;42,29;0,66;22;10,43;14;8,27;25;0,65;135,85;0,554
HsL13;;;;;;;;;;
HsL14;;;;;;;;;;
HsL15;;;;;;;;;;
