"","Bs","Gs","Hs","Ts"
"Sensitivity",0.837777777777778,0.673333333333333,0.717857142857143,0.831111111111111
"Specificity",0.964772727272727,0.952272727272727,0.884444444444444,0.887121212121212
"Pos Pred Value",0.890200708382526,0.827868852459016,0.659016393442623,0.7151051625239
"Neg Pred Value",0.94578536947642,0.895299145299145,0.909714285714286,0.939053728949479
"Precision",0.890200708382527,0.827868852459016,0.659016393442623,0.715105162523901
"Recall",0.837777777777778,0.673333333333333,0.717857142857143,0.831111111111111
"F1",0.863194046937607,0.74264705882353,0.687179487179487,0.768756423432682
"Prevalence",0.254237288135593,0.254237288135593,0.23728813559322,0.254237288135593
"Detection Rate",0.212994350282486,0.171186440677966,0.170338983050847,0.211299435028249
"Detection Prevalence",0.239265536723164,0.206779661016949,0.258474576271186,0.295480225988701
"Balanced Accuracy",0.901275252525253,0.81280303030303,0.801150793650794,0.859116161616162
